depth	round	execution_index	returncode	mismatch	max_abs	max_rel	hash	l05_ms	l1_ms	l2_ms
4	42	1	0	0	0.03125	2929.6875	c3217e44b4e94d02	2.845696	2.849824	3.064832
6	42	2	0	0	0.03125	2929.6875	34776df8054c3c2c	4.270016	4.271200	4.605248
8	42	3	1	4	0.046875	6835.9375	f86acee8a76b2ef3	5.694208	5.690336	6.122304
12	42	4	1	59	0.0625	3906.25	f2c9f237c088aa9b	8.542208	8.545344	9.232384
16	42	5	1	162	0.078125	10742.188	621738651f623f5b	11.384704	11.409504	12.274400
4	43	0	0	0	0.03125	2929.6875	c3217e44b4e94d02	2.846368	2.846720	3.066880
6	43	1	0	0	0.03125	2929.6875	34776df8054c3c2c	4.268032	4.271104	4.597408
8	43	2	1	4	0.046875	6835.9375	f86acee8a76b2ef3	5.697536	5.691136	6.153152
12	43	3	1	59	0.0625	3906.25	f2c9f237c088aa9b	8.546112	8.553280	9.214848
16	43	4	1	162	0.078125	10742.188	621738651f623f5b	11.382976	11.380576	12.241920
2	43	5	0	0	0.015625	3.2	2398bfeb94e20663	1.423200	1.425472	1.523712
6	44	0	0	0	0.03125	2929.6875	34776df8054c3c2c	4.268032	4.265696	4.605952
8	44	1	1	4	0.046875	6835.9375	f86acee8a76b2ef3	5.692512	5.693440	6.169600
12	44	2	1	59	0.0625	3906.25	f2c9f237c088aa9b	8.541184	8.546336	9.172992
16	44	3	1	162	0.078125	10742.188	621738651f623f5b	11.383808	11.386944	12.223360
2	44	4	0	0	0.015625	3.2	2398bfeb94e20663	1.424032	1.425504	1.528832
4	44	5	0	0	0.03125	2929.6875	c3217e44b4e94d02	2.846688	2.840672	3.067904
8	45	0	1	4	0.046875	6835.9375	f86acee8a76b2ef3	5.692416	5.696352	6.163456
12	45	1	1	59	0.0625	3906.25	f2c9f237c088aa9b	8.543872	8.539968	9.211904
16	45	2	1	162	0.078125	10742.188	621738651f623f5b	11.386720	11.405152	12.236800
2	45	3	0	0	0.015625	3.2	2398bfeb94e20663	1.423584	1.426080	1.524608
4	45	4	0	0	0.03125	2929.6875	c3217e44b4e94d02	2.845696	2.841696	3.057664
6	45	5	0	0	0.03125	2929.6875	34776df8054c3c2c	4.269888	4.266816	4.613248
12	46	0	1	59	0.0625	3906.25	f2c9f237c088aa9b	8.537088	8.548352	9.243648
16	46	1	1	162	0.078125	10742.188	621738651f623f5b	11.386688	11.364320	12.207104
2	46	2	0	0	0.015625	3.2	2398bfeb94e20663	1.422240	1.424384	1.534976
4	46	3	0	0	0.03125	2929.6875	c3217e44b4e94d02	2.845344	2.842560	3.067584
6	46	4	0	0	0.03125	2929.6875	34776df8054c3c2c	4.268032	4.272192	4.608256
8	46	5	1	4	0.046875	6835.9375	f86acee8a76b2ef3	5.693440	5.710848	6.117376
16	47	0	1	162	0.078125	10742.188	621738651f623f5b	11.424768	11.410432	12.244992
2	47	1	0	0	0.015625	3.2	2398bfeb94e20663	1.424224	1.427520	1.522688
4	47	2	0	0	0.03125	2929.6875	c3217e44b4e94d02	2.846560	2.845728	3.074848
6	47	3	0	0	0.03125	2929.6875	34776df8054c3c2c	4.269792	4.269152	4.586496
8	47	4	1	4	0.046875	6835.9375	f86acee8a76b2ef3	5.697376	5.700640	6.163776
12	47	5	1	59	0.0625	3906.25	f2c9f237c088aa9b	8.543232	8.528960	9.167872
2	48	0	0	0	0.015625	3.2	2398bfeb94e20663	1.424384	1.427456	1.524736
4	48	1	0	0	0.03125	2929.6875	c3217e44b4e94d02	2.844672	2.846752	3.060736
6	48	2	0	0	0.03125	2929.6875	34776df8054c3c2c	4.269056	4.266880	4.603520
8	48	3	1	4	0.046875	6835.9375	f86acee8a76b2ef3	5.695104	5.685376	6.137504
