stage	name	category	tasks	first_start	last_end	wait_sum	fixed_sum	mainloop_sum	publication_sum
131	serving.s131	fused_attention	160	3738801.0902481414	3811592.7800400779	282298.91375999927	1351969.6521855977	3808285.3562941551	171860.54448000013
132	serving.s132	attention_merge	32	3809367.6715066778	3817709.0598036591	56459.782751999999	50764.941343999999	14590.941810593009	34372.108895999998
133	serving.s133	gemm	64	3818944.4716046592	3834121.495966386	112919.565504	197821.02374400001	591844.75211051106	68744.217791999996
134	serving.s134	rmsnorm	4	3835356.9077673862	3840110.5061747441	7057.4728439999999	3374.5341616000001	4285.8730118311942	4296.5136119999997
135	serving.s135	swiglu_gemm	96	3841345.9179757442	3903385.4288734971	169379.348256	438657.45139200002	5244639.9198482484	103116.326688
136	serving.s136	gemm	64	3904620.8406744972	3938293.013539678	112919.565504	197821.02374400001	1775534.256331563	68744.217791999996
137	serving.s137	rmsnorm	4	3939528.4253406781	3944282.023748036	7057.4728439999999	3374.5341616000001	4285.8730118311942	4296.5136119999997
138	serving.s138	gemm	128	3945517.4355490361	3969282.4776240923	225839.131008	356883.63366400002	2321714.1853511333	137488.43558399999
139	serving.s139	fused_attention	160	3970517.8894250924	4043309.5792170288	282298.91375999927	1351969.6521855977	3808285.3562941551	171860.54448000013
140	serving.s140	attention_merge	32	4041084.4706836287	4049425.85898061	56459.782751999999	50764.941343999999	14590.941810593009	34372.108895999998
141	serving.s141	gemm	64	4050661.2707816102	4065838.295143337	112919.565504	197821.02374400001	591844.75211051106	68744.217791999996
142	serving.s142	rmsnorm	4	4067073.7069443371	4071827.305351695	7057.4728439999999	3374.5341616000001	4285.8730118311942	4296.5136119999997
143	serving.s143	swiglu_gemm	96	4073062.7171526952	4135102.228050448	169379.348256	438657.45139200002	5244639.9198482484	103116.326688
144	serving.s144	gemm	64	4136337.6398514481	4170009.8127166289	112919.565504	197821.02374400001	1775534.256331563	68744.217791999996
145	serving.s145	rmsnorm	4	4171245.224517629	4175998.8229249869	7057.4728439999999	3374.5341616000001	4285.8730118311942	4296.5136119999997
146	serving.s146	gemm	128	4177234.2347259871	4200999.2768010423	225839.131008	356883.63366400002	2321714.1853510737	137488.43558399999
