model	seq	kappa	round	arm	l1_ms	l2_ms
mha4	4	0	24	l1nosync	0.720896	0.865280
mha4	4	0	25	nowait	0.793344	0.758784
mha4	4	0	25	neither	0.794624	0.702464
mha4	4	0	25	l1nosync	0.724992	0.870496
mha4	4	0	25	full	0.794752	0.868352
mha4	4	1	1	nowait	0.791424	0.768768
mha4	4	1	1	neither	0.796672	0.702496
mha4	4	1	1	l1nosync	0.720064	1.005568
mha4	4	1	1	full	0.794816	1.003264
mha4	4	1	2	neither	0.792768	0.697984
mha4	4	1	2	l1nosync	0.718848	0.997184
mha4	4	1	2	full	0.791744	1.002496
mha4	4	1	2	nowait	0.791552	0.769024
mha4	4	1	3	l1nosync	0.718688	0.997376
mha4	4	1	3	full	0.792640	0.998112
mha4	4	1	3	nowait	0.792768	0.777216
mha4	4	1	3	neither	0.794624	0.697984
mha4	4	1	4	full	0.793792	0.997376
mha4	4	1	4	nowait	0.792736	0.777216
mha4	4	1	4	neither	0.791552	0.702208
mha4	4	1	4	l1nosync	0.718912	0.999104
mha4	4	1	5	nowait	0.790528	0.769760
mha4	4	1	5	neither	0.791712	0.707488
mha4	4	1	5	l1nosync	0.723776	1.003296
mha4	4	1	5	full	0.796672	1.001344
mha4	4	1	6	neither	0.792576	0.702208
mha4	4	1	6	l1nosync	0.726016	1.002432
mha4	4	1	6	full	0.790720	0.997376
mha4	4	1	6	nowait	0.793792	0.769696
mha4	4	1	7	l1nosync	0.723072	1.003392
mha4	4	1	7	full	0.792576	1.000288
mha4	4	1	7	nowait	0.793760	0.770880
mha4	4	1	7	neither	0.792384	0.702464
mha4	4	1	8	full	0.794624	0.999424
mha4	4	1	8	nowait	0.792768	0.769184
mha4	4	1	8	neither	0.790528	0.694272
mha4	4	1	8	l1nosync	0.727040	0.994080
mha4	4	1	9	nowait	0.793472	0.772096
mha4	4	1	9	neither	0.793600	0.697344
mha4	4	1	9	l1nosync	0.724000	1.004544
mha4	4	1	9	full	0.791296	0.997152
mha4	4	1	10	neither	0.790528	0.698496
mha4	4	1	10	l1nosync	0.722880	1.002464
mha4	4	1	10	full	0.793600	1.000192
mha4	4	1	10	nowait	0.792768	0.770880
mha4	4	1	11	l1nosync	0.728064	1.003520
mha4	4	1	11	full	0.790624	0.999424
mha4	4	1	11	nowait	0.791520	0.769728
mha4	4	1	11	neither	0.792576	0.701440
mha4	4	1	12	full	0.792736	1.002240
mha4	4	1	12	nowait	0.793600	0.770784
mha4	4	1	12	neither	0.792768	0.700096
mha4	4	1	12	l1nosync	0.727040	1.002496
mha4	4	1	13	nowait	0.794496	0.771072
mha4	4	1	13	neither	0.792320	0.701440
mha4	4	1	13	l1nosync	0.729088	0.999424
mha4	4	1	13	full	0.792576	1.004544
mha4	4	1	14	neither	0.792576	0.703488
mha4	4	1	14	l1nosync	0.724992	0.999424
mha4	4	1	14	full	0.791712	1.004544
mha4	4	1	14	nowait	0.792256	0.765888
mha4	4	1	15	l1nosync	0.723968	1.001472
mha4	4	1	15	full	0.790528	1.002496
mha4	4	1	15	nowait	0.793408	0.770784
mha4	4	1	15	neither	0.793760	0.705536
mha4	4	1	16	full	0.793600	1.002496
mha4	4	1	16	nowait	0.794752	0.772096
mha4	4	1	16	neither	0.792384	0.693600
mha4	4	1	16	l1nosync	0.721920	0.996352
mha4	4	1	17	nowait	0.794496	0.776064
mha4	4	1	17	neither	0.794560	0.699392
