group	cell	round	ratio	rotate_log	legacy_log
reference	mha4_s128	13	0.9702598828696924	/root/TileMega/docs/experiments/REBASE/bounded_raw/mha4_s128/measure/rotate__full/r13.log	/root/TileMega/docs/experiments/REBASE/bounded_raw/mha4_s128/measure/legacy_grid_stride__full/r13.log
reference	mha4_s128	14	0.9794419970631424	/root/TileMega/docs/experiments/REBASE/bounded_raw/mha4_s128/measure/rotate__full/r14.log	/root/TileMega/docs/experiments/REBASE/bounded_raw/mha4_s128/measure/legacy_grid_stride__full/r14.log
reference	mha4_s128	15	0.9736842105263158	/root/TileMega/docs/experiments/REBASE/bounded_raw/mha4_s128/measure/rotate__full/r15.log	/root/TileMega/docs/experiments/REBASE/bounded_raw/mha4_s128/measure/legacy_grid_stride__full/r15.log
reference	mha4_s128	16	0.9897360703812318	/root/TileMega/docs/experiments/REBASE/bounded_raw/mha4_s128/measure/rotate__full/r16.log	/root/TileMega/docs/experiments/REBASE/bounded_raw/mha4_s128/measure/legacy_grid_stride__full/r16.log
reference	mha4_s128	17	0.976470588235294	/root/TileMega/docs/experiments/REBASE/bounded_raw/mha4_s128/measure/rotate__full/r17.log	/root/TileMega/docs/experiments/REBASE/bounded_raw/mha4_s128/measure/legacy_grid_stride__full/r17.log
reference	mha4_s128	18	0.9776785714285715	/root/TileMega/docs/experiments/REBASE/bounded_raw/mha4_s128/measure/rotate__full/r18.log	/root/TileMega/docs/experiments/REBASE/bounded_raw/mha4_s128/measure/legacy_grid_stride__full/r18.log
reference	mha4_s128	19	0.9909061533490282	/root/TileMega/docs/experiments/REBASE/bounded_raw/mha4_s128/measure/rotate__full/r19.log	/root/TileMega/docs/experiments/REBASE/bounded_raw/mha4_s128/measure/legacy_grid_stride__full/r19.log
reference	mha4_s128	20	0.9852071005917161	/root/TileMega/docs/experiments/REBASE/bounded_raw/mha4_s128/measure/rotate__full/r20.log	/root/TileMega/docs/experiments/REBASE/bounded_raw/mha4_s128/measure/legacy_grid_stride__full/r20.log
reference	mha4_s128	21	0.9760796423468682	/root/TileMega/docs/experiments/REBASE/bounded_raw/mha4_s128/measure/rotate__full/r21.log	/root/TileMega/docs/experiments/REBASE/bounded_raw/mha4_s128/measure/legacy_grid_stride__full/r21.log
reference	mha4_s128	22	0.9808796296296296	/root/TileMega/docs/experiments/REBASE/bounded_raw/mha4_s128/measure/rotate__full/r22.log	/root/TileMega/docs/experiments/REBASE/bounded_raw/mha4_s128/measure/legacy_grid_stride__full/r22.log
reference	mha4_s128	23	0.9824304538799414	/root/TileMega/docs/experiments/REBASE/bounded_raw/mha4_s128/measure/rotate__full/r23.log	/root/TileMega/docs/experiments/REBASE/bounded_raw/mha4_s128/measure/legacy_grid_stride__full/r23.log
reference	mha4_s128	24	0.9865296486599083	/root/TileMega/docs/experiments/REBASE/bounded_raw/mha4_s128/measure/rotate__full/r24.log	/root/TileMega/docs/experiments/REBASE/bounded_raw/mha4_s128/measure/legacy_grid_stride__full/r24.log
real	real_s4	0	0.6889455782312925	/root/TileMega/docs/experiments/REBASE/bounded_raw/real_s4/measure/rotate__full/r0.log	/root/TileMega/docs/experiments/REBASE/bounded_raw/real_s4/measure/legacy_grid_stride__full/r0.log
real	real_s4	1	0.962143928035982	/root/TileMega/docs/experiments/REBASE/bounded_raw/real_s4/measure/rotate__full/r1.log	/root/TileMega/docs/experiments/REBASE/bounded_raw/real_s4/measure/legacy_grid_stride__full/r1.log
real	real_s4	2	0.9674585134323436	/root/TileMega/docs/experiments/REBASE/bounded_raw/real_s4/measure/rotate__full/r2.log	/root/TileMega/docs/experiments/REBASE/bounded_raw/real_s4/measure/legacy_grid_stride__full/r2.log
real	real_s4	3	0.9629074559760209	/root/TileMega/docs/experiments/REBASE/bounded_raw/real_s4/measure/rotate__full/r3.log	/root/TileMega/docs/experiments/REBASE/bounded_raw/real_s4/measure/legacy_grid_stride__full/r3.log
real	real_s4	4	0.991509069857198	/root/TileMega/docs/experiments/REBASE/bounded_raw/real_s4/measure/rotate__full/r4.log	/root/TileMega/docs/experiments/REBASE/bounded_raw/real_s4/measure/legacy_grid_stride__full/r4.log
real	real_s4	5	0.9377577802774654	/root/TileMega/docs/experiments/REBASE/bounded_raw/real_s4/measure/rotate__full/r5.log	/root/TileMega/docs/experiments/REBASE/bounded_raw/real_s4/measure/legacy_grid_stride__full/r5.log
real	real_s4	6	0.9625046869141356	/root/TileMega/docs/experiments/REBASE/bounded_raw/real_s4/measure/rotate__full/r6.log	/root/TileMega/docs/experiments/REBASE/bounded_raw/real_s4/measure/legacy_grid_stride__full/r6.log
real	real_s4	7	0.9613975108009695	/root/TileMega/docs/experiments/REBASE/bounded_raw/real_s4/measure/rotate__full/r7.log	/root/TileMega/docs/experiments/REBASE/bounded_raw/real_s4/measure/legacy_grid_stride__full/r7.log
real	real_s4	8	0.9632658800370271	/root/TileMega/docs/experiments/REBASE/bounded_raw/real_s4/measure/rotate__full/r8.log	/root/TileMega/docs/experiments/REBASE/bounded_raw/real_s4/measure/legacy_grid_stride__full/r8.log
real	real_s4	9	0.9614232209737826	/root/TileMega/docs/experiments/REBASE/bounded_raw/real_s4/measure/rotate__full/r9.log	/root/TileMega/docs/experiments/REBASE/bounded_raw/real_s4/measure/legacy_grid_stride__full/r9.log
real	real_s4	10	0.963254593175853	/root/TileMega/docs/experiments/REBASE/bounded_raw/real_s4/measure/rotate__full/r10.log	/root/TileMega/docs/experiments/REBASE/bounded_raw/real_s4/measure/legacy_grid_stride__full/r10.log
real	real_s4	11	0.9632001686024729	/root/TileMega/docs/experiments/REBASE/bounded_raw/real_s4/measure/rotate__full/r11.log	/root/TileMega/docs/experiments/REBASE/bounded_raw/real_s4/measure/legacy_grid_stride__full/r11.log
