group	round	sample	l1_ms	l2_ms	status
correct_gqa2_s4_balanced	-	24	0.340288	0.542208	PASS
correct_gqa2_s4_balanced	-	25	0.338112	0.540832	PASS
correct_gqa2_s4_balanced	-	26	0.338784	0.542816	PASS
correct_gqa2_s4_balanced	-	27	0.340192	0.542272	PASS
correct_gqa2_s4_balanced	-	28	0.340032	0.544800	PASS
correct_gqa2_s4_balanced	-	29	0.338144	0.540352	PASS
correct_gqa2_s4_balanced	-	3	0.339840	0.540672	PASS
correct_gqa2_s4_balanced	-	30	0.340224	0.540480	PASS
correct_gqa2_s4_balanced	-	31	0.340288	0.542368	PASS
correct_gqa2_s4_balanced	-	32	0.338464	0.540384	PASS
correct_gqa2_s4_balanced	-	33	0.338496	0.541056	PASS
correct_gqa2_s4_balanced	-	34	0.338592	0.541120	PASS
correct_gqa2_s4_balanced	-	35	0.339840	0.540960	PASS
correct_gqa2_s4_balanced	-	36	0.339936	0.540896	PASS
correct_gqa2_s4_balanced	-	37	0.339712	0.542560	PASS
correct_gqa2_s4_balanced	-	38	0.340096	0.542752	PASS
correct_gqa2_s4_balanced	-	39	0.339488	0.543008	PASS
correct_gqa2_s4_balanced	-	4	0.339936	0.542816	PASS
correct_gqa2_s4_balanced	-	40	0.339712	0.542048	PASS
correct_gqa2_s4_balanced	-	41	0.338560	0.542368	PASS
correct_gqa2_s4_balanced	-	42	0.340352	0.540928	PASS
correct_gqa2_s4_balanced	-	43	0.339552	0.540640	PASS
correct_gqa2_s4_balanced	-	44	0.339808	0.544672	PASS
correct_gqa2_s4_balanced	-	45	0.339872	0.542528	PASS
correct_gqa2_s4_balanced	-	46	0.338304	0.541248	PASS
correct_gqa2_s4_balanced	-	47	0.339904	0.542720	PASS
correct_gqa2_s4_balanced	-	48	0.340160	0.542848	PASS
correct_gqa2_s4_balanced	-	49	0.339136	0.541344	PASS
correct_gqa2_s4_balanced	-	5	0.339968	0.542624	PASS
correct_gqa2_s4_balanced	-	50	0.339872	0.542592	PASS
correct_gqa2_s4_balanced	-	6	0.338240	0.540864	PASS
correct_gqa2_s4_balanced	-	7	0.340256	0.539904	PASS
correct_gqa2_s4_balanced	-	8	0.339264	0.540960	PASS
correct_gqa2_s4_balanced	-	9	0.339776	0.542528	PASS
correct_gqa2_s4_band	-	1	0.340160	0.375136	PASS
correct_gqa2_s4_band	-	10	0.340096	0.374752	PASS
correct_gqa2_s4_band	-	11	0.340384	0.374944	PASS
correct_gqa2_s4_band	-	12	0.339712	0.372576	PASS
correct_gqa2_s4_band	-	13	0.338560	0.372480	PASS
correct_gqa2_s4_band	-	14	0.340160	0.375136	PASS
correct_gqa2_s4_band	-	15	0.338368	0.373088	PASS
correct_gqa2_s4_band	-	16	0.339936	0.375488	PASS
correct_gqa2_s4_band	-	17	0.339680	0.378944	PASS
correct_gqa2_s4_band	-	18	0.339680	0.374592	PASS
correct_gqa2_s4_band	-	19	0.340096	0.376032	PASS
correct_gqa2_s4_band	-	2	0.339680	0.376160	PASS
correct_gqa2_s4_band	-	20	0.339680	0.376768	PASS
correct_gqa2_s4_band	-	21	0.339424	0.377376	PASS
correct_gqa2_s4_band	-	22	0.341856	0.373984	PASS
correct_gqa2_s4_band	-	23	0.340160	0.374560	PASS
correct_gqa2_s4_band	-	24	0.339680	0.377184	PASS
correct_gqa2_s4_band	-	25	0.340736	0.374720	PASS
correct_gqa2_s4_band	-	26	0.338656	0.377216	PASS
correct_gqa2_s4_band	-	27	0.339296	0.376864	PASS
correct_gqa2_s4_band	-	28	0.340000	0.375008	PASS
correct_gqa2_s4_band	-	29	0.339968	0.375456	PASS
correct_gqa2_s4_band	-	3	0.339872	0.374240	PASS
correct_gqa2_s4_band	-	30	0.339616	0.374432	PASS
correct_gqa2_s4_band	-	31	0.339296	0.373472	PASS
correct_gqa2_s4_band	-	32	0.339904	0.374400	PASS
correct_gqa2_s4_band	-	33	0.339968	0.372832	PASS
correct_gqa2_s4_band	-	34	0.339552	0.374816	PASS
correct_gqa2_s4_band	-	35	0.339840	0.374944	PASS
correct_gqa2_s4_band	-	36	0.338944	0.374016	PASS
correct_gqa2_s4_band	-	37	0.339840	0.374816	PASS
correct_gqa2_s4_band	-	38	0.339488	0.378784	PASS
correct_gqa2_s4_band	-	39	0.339808	0.374688	PASS
correct_gqa2_s4_band	-	4	0.341088	0.374720	PASS
correct_gqa2_s4_band	-	40	0.338560	0.376672	PASS
correct_gqa2_s4_band	-	41	0.338464	0.373248	PASS
correct_gqa2_s4_band	-	42	0.340160	0.374624	PASS
correct_gqa2_s4_band	-	43	0.339776	0.374752	PASS
correct_gqa2_s4_band	-	44	0.339872	0.374048	PASS
correct_gqa2_s4_band	-	45	0.340064	0.378304	PASS
correct_gqa2_s4_band	-	46	0.340352	0.372352	PASS
correct_gqa2_s4_band	-	47	0.339968	0.374752	PASS
correct_gqa2_s4_band	-	48	0.338368	0.376032	PASS
correct_gqa2_s4_band	-	49	0.338304	0.372704	PASS
correct_gqa2_s4_band	-	5	0.340192	0.375328	PASS
correct_gqa2_s4_band	-	50	0.338464	0.378176	PASS
correct_gqa2_s4_band	-	6	0.340032	0.375040	PASS
correct_gqa2_s4_band	-	7	0.340256	0.374432	PASS
correct_gqa2_s4_band	-	8	0.339712	0.374784	PASS
correct_gqa2_s4_band	-	9	0.338080	0.372608	PASS
correct_gqa2_s4_eft	-	1	0.341536	0.254304	PASS
correct_gqa2_s4_eft	-	10	0.341408	0.253856	PASS
correct_gqa2_s4_eft	-	11	0.341216	0.254272	PASS
correct_gqa2_s4_eft	-	12	0.343808	0.257024	PASS
