slot	stage	logical_task	kind	on_cp	tile_m	tile_n	tile_k	split_k	operand_bytes	setup_ns	load_wait_ns	mainloop_ns	epilogue_ns	body_epilogue_ns	harness_tail_ns	run_ns	setup_cycles	load_wait_cycles	mainloop_cycles	epilogue_cycles	body_epilogue_cycles	harness_tail_cycles	run_cycles
65	22	465	3	0	0	0	0	1	0	0	0	1024	0	0	0	1024	695	0	832	217	30	187	1744
66	21	209	3	0	0	0	0	1	0	1024	0	0	0	0	0	1024	1178	0	692	219	30	189	2089
67	21	465	3	0	0	0	0	1	0	1024	0	0	0	0	0	1024	895	0	861	215	30	185	1971
68	23	209	5	0	0	0	0	1	0	1024	0	17408	0	0	0	18432	1825	0	48785	217	30	187	50827
69	23	465	5	0	0	0	0	1	0	1024	0	16384	1024	0	1024	18432	1689	0	47114	461	30	431	49264
70	28	61	4	0	0	0	0	1	0	1024	0	2048	0	0	0	3072	1350	0	6399	218	30	188	7967
71	35	45	2	0	0	0	0	1	0	1024	0	0	0	0	0	1024	1308	0	1528	219	32	187	3055
72	35	301	2	0	0	0	0	1	0	0	0	1024	0	0	0	1024	1293	0	1503	217	30	187	3013
73	34	45	2	0	0	0	0	1	0	1024	0	1024	0	0	0	2048	1290	0	1793	215	30	185	3298
74	34	301	2	0	0	0	0	1	0	1024	0	0	0	0	0	1024	1293	0	1799	215	30	185	3307
75	37	45	3	0	0	0	0	1	0	0	0	1024	0	0	0	1024	1316	0	1241	215	30	185	2772
76	37	301	3	0	0	0	0	1	0	1024	0	0	0	0	0	1024	920	0	834	217	30	187	1971
77	36	45	3	0	0	0	0	1	0	1024	0	0	0	0	0	1024	1155	0	835	217	30	187	2207
78	36	301	3	0	0	0	0	1	0	0	0	0	1024	0	1024	1024	1151	0	697	219	30	189	2067
79	38	45	5	0	0	0	0	1	0	1024	0	20480	1024	0	1024	22528	1807	0	57281	1387	141	1246	60475
80	38	301	5	0	0	0	0	1	0	2048	0	17408	0	0	0	19456	4264	0	47674	217	30	187	52155
81	40	41	1	0	0	0	0	1	0	1024	0	0	1024	1024	0	2048	1233	0	2300	1962	1774	188	5495
82	45	21	1	0	0	0	0	1	0	1024	0	0	1024	1024	0	2048	1246	0	2318	2099	1912	187	5663
83	50	137	2	0	0	0	0	1	0	1024	0	0	0	0	0	1024	1265	0	1819	219	30	189	3303
84	50	393	2	0	0	0	0	1	0	0	0	1024	0	0	0	1024	1272	0	1792	210	30	180	3274
85	49	137	2	0	0	0	0	1	0	1024	0	1024	0	0	0	2048	1279	0	1785	216	30	186	3280
86	49	393	2	0	0	0	0	1	0	1024	0	0	0	0	0	1024	1289	0	1776	215	30	185	3280
87	52	137	3	0	0	0	0	1	0	0	0	1024	0	0	0	1024	1291	0	981	215	30	185	2487
88	52	393	3	0	0	0	0	1	0	1024	0	0	0	0	0	1024	1140	0	724	222	36	186	2086
89	51	137	3	0	0	0	0	1	0	0	0	0	0	0	0	0	1144	0	848	217	30	187	2209
90	51	393	3	0	0	0	0	1	0	0	0	0	1024	0	1024	1024	884	0	715	217	30	187	1816
91	53	137	5	0	0	0	0	1	0	1024	0	17408	0	0	0	18432	1780	0	47882	215	30	185	49877
92	53	393	5	0	0	0	0	1	0	0	0	18432	0	0	0	18432	1754	0	49684	215	30	185	51653
93	56	5	0	0	128	128	16	1	8192	1024	1024	16384	4096	4096	0	22528	2260	1167	46974	10427	9997	430	60828
94	0	2	1	0	0	0	0	1	0	1024	0	1024	0	0	0	2048	1318	0	2316	2018	1830	188	5652
95	5	118	2	0	0	0	0	1	0	1024	0	0	0	0	0	1024	1259	0	1766	215	30	185	3240
96	5	374	2	0	0	0	0	1	0	0	0	1024	0	0	0	1024	1244	0	1786	215	30	185	3245
97	4	118	2	0	0	0	0	1	0	1024	0	0	1024	0	1024	2048	1249	0	1523	217	32	185	2989
98	4	374	2	0	0	0	0	1	0	1024	0	0	0	0	0	1024	1256	0	1744	215	30	185	3215
99	7	118	3	0	0	0	0	1	0	0	0	1024	0	0	0	1024	1289	0	948	216	30	186	2453
