wait_index	producer	group
563	12	41
564	12	42
565	12	43
566	12	44
567	12	45
568	12	46
569	12	47
570	12	48
571	12	49
572	12	50
573	12	51
574	12	52
575	12	53
576	12	54
577	12	55
578	12	56
579	12	57
580	12	58
581	12	59
582	12	60
583	12	61
584	12	62
585	12	63
586	13	0
587	13	2
588	13	3
589	14	0
590	14	2
591	14	3
592	14	4
593	14	5
594	14	6
595	14	7
596	14	8
597	14	9
598	14	10
599	14	11
600	14	12
601	14	13
602	14	14
603	14	15
604	14	16
605	14	17
606	14	18
607	14	19
608	14	20
609	14	21
610	14	22
611	14	23
612	14	24
613	14	25
614	14	26
615	14	27
616	14	28
617	14	29
618	14	30
619	14	31
620	15	0
621	15	2
622	15	3
623	17	4294967295
624	19	13
625	21	4294967295
626	22	4294967295
627	23	0
628	23	1
629	23	2
630	23	3
631	23	4
632	23	5
633	23	6
634	23	7
635	23	8
636	23	9
637	23	10
638	23	11
639	23	12
640	23	14
641	23	15
642	24	0
643	24	2
644	24	3
645	24	4
646	24	5
647	24	6
648	24	7
649	24	8
650	24	9
651	24	10
652	24	11
653	24	12
654	24	13
655	24	14
656	24	15
657	24	16
658	24	17
659	24	18
660	24	19
661	24	20
662	24	21
663	24	22
664	24	23
665	24	24
666	24	25
667	24	26
668	24	27
669	24	28
670	24	29
671	24	30
672	24	31
673	25	0
674	25	2
675	25	3
676	26	0
677	26	2
678	26	3
679	26	4
680	26	5
681	26	6
682	26	7
683	26	8
684	26	9
685	26	10
686	26	11
687	26	12
688	26	13
689	26	14
690	26	15
691	26	16
692	26	17
693	26	18
694	26	19
695	26	20
696	26	21
697	26	22
698	26	23
699	26	24
700	26	25
701	26	26
702	26	27
703	26	28
704	26	29
705	26	30
706	26	31
707	26	32
708	26	33
709	26	34
710	26	35
711	26	36
712	26	37
713	26	38
714	26	39
715	26	40
716	26	41
717	26	42
718	26	43
719	26	44
720	26	45
721	26	46
722	26	47
723	26	48
724	26	49
725	26	50
726	26	51
727	26	52
728	26	53
729	26	54
730	26	55
731	26	56
732	26	57
733	26	58
734	26	59
735	26	60
736	26	61
737	26	62
738	26	63
739	27	0
740	27	1
741	27	2
742	27	3
743	27	4
744	27	5
745	27	6
746	27	7
747	27	8
748	27	9
749	27	10
750	27	11
751	27	12
752	27	13
753	27	14
754	27	15
755	27	16
756	27	17
757	27	18
758	27	19
759	27	20
760	27	21
761	27	22
762	27	23
763	27	24
764	27	25
765	27	26
766	27	27
767	27	28
768	27	29
769	27	30
770	27	31
771	27	32
772	27	33
773	27	34
774	27	35
775	27	36
776	27	37
777	27	38
778	27	39
779	27	40
780	27	41
781	27	42
782	27	43
783	27	44
784	27	45
785	27	46
786	27	47
787	27	48
788	27	49
789	27	50
790	27	51
791	27	52
792	27	53
793	27	54
794	27	55
795	27	56
796	27	57
797	27	58
798	27	59
799	27	60
800	27	61
801	27	62
802	27	63
803	28	0
804	28	2
805	28	3
806	0	0
807	0	1
808	0	3
809	2	4294967295
810	4	14
811	6	4294967295
812	7	4294967295
813	8	0
814	8	1
815	8	2
816	8	3
817	8	4
818	8	5
819	8	6
820	8	7
821	8	8
822	8	9
823	8	10
824	8	11
